"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-78.27","45.53","ALGONQUIN PARK EAST GATE","6080192","2025-09-16","2025","09","16","","25.3","","3.1","","14.2","","3.8","","0.0","","","","","","0.0","","","","","","",""
"-78.27","45.53","ALGONQUIN PARK EAST GATE","6080192","2025-09-17","2025","09","17","","26.3","","4.1","","15.2","","2.8","","0.0","","","","","","0.0","","","","","","",""
"-78.27","45.53","ALGONQUIN PARK EAST GATE","6080192","2025-09-18","2025","09","18","","22.9","","6.9","","14.9","","3.1","","0.0","","","","","","0.0","","","","","","",""
"-78.27","45.53","ALGONQUIN PARK EAST GATE","6080192","2025-09-19","2025","09","19","","17.1","","-0.2","","8.4","","9.6","","0.0","","","","","","0.0","","","","","","",""
"-78.27","45.53","ALGONQUIN PARK EAST GATE","6080192","2025-09-20","2025","09","20","","17.5","","-2.7","","7.4","","10.6","","0.0","","","","","","0.0","","","","","","",""
"-78.27","45.53","ALGONQUIN PARK EAST GATE","6080192","2025-09-21","2025","09","21","","24.6","","-3.3","","10.7","","7.3","","0.0","","","","","","1.1","","","","","","",""
"-78.27","45.53","ALGONQUIN PARK EAST GATE","6080192","2025-09-22","2025","09","22","","20.5","","14.2","","17.3","","0.7","","0.0","","","","","","1.5","","","","","","",""
"-78.27","45.53","ALGONQUIN PARK EAST GATE","6080192","2025-09-23","2025","09","23","","20.7","","15.0","","17.9","","0.1","","0.0","","","","","","16.4","","","","","","",""
"-78.27","45.53","ALGONQUIN PARK EAST GATE","6080192","2025-09-24","2025","09","24","","21.1","","13.3","","17.2","","0.8","","0.0","","","","","","13.4","","","","","","",""
"-78.27","45.53","ALGONQUIN PARK EAST GATE","6080192","2025-09-25","2025","09","25","","17.6","","11.8","","14.7","","3.3","","0.0","","","","","","0.0","","","","","","",""
"-78.27","45.53","ALGONQUIN PARK EAST GATE","6080192","2025-09-26","2025","09","26","","19.3","","11.8","","15.6","","2.4","","0.0","","","","","","0.0","","","","","","",""
"-78.27","45.53","ALGONQUIN PARK EAST GATE","6080192","2025-09-27","2025","09","27","","21.6","","7.9","","14.8","","3.2","","0.0","","","","","","0.0","","","","","","",""
"-78.27","45.53","ALGONQUIN PARK EAST GATE","6080192","2025-09-28","2025","09","28","","22.4","","5.4","","13.9","","4.1","","0.0","","","","","","0.0","","","","","","",""
"-78.27","45.53","ALGONQUIN PARK EAST GATE","6080192","2025-09-29","2025","09","29","","24.7","","2.4","","13.6","","4.4","","0.0","","","","","","0.0","","","","","","",""
"-78.27","45.53","ALGONQUIN PARK EAST GATE","6080192","2025-09-30","2025","09","30","","19.1","","2.3","","10.7","","7.3","","0.0","","","","","","0.0","","","","","","",""
